step,body,x,y
0,0,-9.2314,13.7053
0,1,-0.0259,0.0738
0,2,19.2185,-19.0791
0,3,-16.3977,-16.0738
0,4,-2.2997,-13.5404
0,5,9.0743,13.8935
0,6,-6.0000,-4.3407
0,7,-10.5777,18.9806
0,8,2.8260,1.6553
1,0,-9.2761,13.6636
1,1,0.0395,0.1283
1,2,19.1497,-19.0762
1,3,-16.4722,-16.0966
1,4,-2.2391,-13.6080
1,5,9.1046,13.8209
1,6,-6.0237,-4.4081
1,7,-10.5670,18.9004
1,8,2.7566,1.6690
2,0,-9.3209,13.6222
2,1,0.1064,0.1837
2,2,19.0809,-19.0732
2,3,-16.5465,-16.1194
2,4,-2.1785,-13.6754
2,5,9.1347,13.7483
2,6,-6.0471,-4.4756
2,7,-10.5562,18.8195
2,8,2.6866,1.6824
3,0,-9.3657,13.5811
3,1,0.1751,0.2402
3,2,19.0121,-19.0701
3,3,-16.6207,-16.1420
3,4,-2.1179,-13.7427
3,5,9.1647,13.6754
3,6,-6.0702,-4.5430
3,7,-10.5452,18.7379
3,8,2.6160,1.6956
4,0,-9.4105,13.5404
4,1,0.2458,0.2978
4,2,18.9431,-19.0670
4,3,-16.6947,-16.1646
4,4,-2.0573,-13.8099
4,5,9.1945,13.6025
4,6,-6.0930,-4.6105
4,7,-10.5339,18.6556
4,8,2.5447,1.7084
5,0,-9.4553,13.5001
5,1,0.3185,0.3567
5,2,18.8740,-19.0639
5,3,-16.7686,-16.1871
5,4,-1.9967,-13.8769
5,5,9.2242,13.5294
5,6,-6.1157,-4.6779
5,7,-10.5225,18.5725
5,8,2.4728,1.7208
6,0,-9.5002,13.4601
6,1,0.3937,0.4172
6,2,18.8049,-19.0607
6,3,-16.8424,-16.2096
6,4,-1.9362,-13.9438
6,5,9.2537,13.4562
6,6,-6.1380,-4.7453
6,7,-10.5109,18.4887
6,8,2.4001,1.7327
7,0,-9.5450,13.4204
7,1,0.4715,0.4794
7,2,18.7357,-19.0574
7,3,-16.9160,-16.2319
7,4,-1.8756,-14.0106
7,5,9.2830,13.3829
7,6,-6.1602,-4.8127
7,7,-10.4991,18.4040
7,8,2.3266,1.7442
8,0,-9.5899,13.3812
8,1,0.5523,0.5437
8,2,18.6664,-19.0541
8,3,-16.9895,-16.2542
8,4,-1.8151,-14.0772
8,5,9.3122,13.3094
8,6,-6.1821,-4.8800
8,7,-10.4870,18.3186
8,8,2.2521,1.7551
9,0,-9.6347,13.3424
9,1,0.6366,0.6105
9,2,18.5970,-19.0507
9,3,-17.0629,-16.2765
9,4,-1.7545,-14.1437
9,5,9.3412,13.2357
9,6,-6.2037,-4.9474
9,7,-10.4748,18.2324
9,8,2.1765,1.7653
10,0,-9.6796,13.3039
10,1,0.7248,0.6803
10,2,18.5275,-19.0473
10,3,-17.1361,-16.2986
10,4,-1.6940,-14.2101
10,5,9.3701,13.1620
10,6,-6.2251,-5.0147
10,7,-10.4625,18.1453
10,8,2.0998,1.7746
11,0,-9.7245,13.2659
11,1,0.8178,0.7539
11,2,18.4580,-19.0438
11,3,-17.2092,-16.3207
11,4,-1.6335,-14.2763
11,5,9.3988,13.0881
11,6,-6.2463,-5.0820
11,7,-10.4499,18.0574
11,8,2.0216,1.7829
12,0,-9.7693,13.2284
12,1,0.9164,0.8323
12,2,18.3883,-19.0403
12,3,-17.2822,-16.3427
12,4,-1.5730,-14.3425
12,5,9.4273,13.0140
12,6,-6.2672,-5.1492
12,7,-10.4372,17.9686
12,8,1.9418,1.7898
13,0,-9.8142,13.1913
13,1,1.0218,0.9173
13,2,18.3186,-19.0367
13,3,-17.3551,-16.3646
13,4,-1.5125,-14.4085
13,5,9.4557,12.9399
13,6,-6.2879,-5.2165
13,7,-10.4243,17.8789
13,8,1.8600,1.7949
14,0,-9.8590,13.1546
14,1,1.1360,1.0114
14,2,18.2488,-19.0330
14,3,-17.4278,-16.3865
14,4,-1.4521,-14.4743
14,5,9.4839,12.8656
14,6,-6.3084,-5.2837
14,7,-10.4112,17.7882
14,8,1.7756,1.7974
15,0,-9.9039,13.1184
15,1,1.2615,1.1196
15,2,18.1789,-19.0293
15,3,-17.5004,-16.4083
15,4,-1.3916,-14.5401
15,5,9.5119,12.7911
15,6,-6.3287,-5.3509
15,7,-10.3980,17.6967
15,8,1.6880,1.7961
16,0,-9.9487,13.0828
16,1,1.4024,1.2522
16,2,18.1089,-19.0255
16,3,-17.5729,-16.4301
16,4,-1.3311,-14.6057
16,5,9.5398,12.7166
16,6,-6.3487,-5.4180
16,7,-10.3846,17.6041
16,8,1.5960,1.7879
17,0,-9.9934,13.0476
17,1,1.5622,1.4371
17,2,18.0388,-19.0217
17,3,-17.6453,-16.4517
17,4,-1.2707,-14.6712
17,5,9.5675,12.6419
17,6,-6.3686,-5.4852
17,7,-10.3711,17.5106
17,8,1.4987,1.7651
18,0,-10.0382,13.0130
18,1,1.6935,1.7683
18,2,17.9686,-19.0178
18,3,-17.7175,-16.4733
18,4,-1.2102,-14.7366
18,5,9.5951,12.5670
18,6,-6.3882,-5.5523
18,7,-10.3575,17.4161
18,8,1.4092,1.7017
19,0,-10.0829,12.9789
19,1,1.6420,2.0567
19,2,17.8983,-19.0139
19,3,-17.7897,-16.4949
19,4,-1.1498,-14.8018
19,5,9.6224,12.4920
19,6,-6.4076,-5.6193
19,7,-10.3437,17.3205
19,8,1.3705,1.6502
20,0,-10.1275,12.9455
20,1,1.5492,2.2832
20,2,17.8279,-19.0099
20,3,-17.8617,-16.5163
20,4,-1.0894,-14.8669
20,5,9.6496,12.4169
20,6,-6.4268,-5.6863
20,7,-10.3298,17.2238
20,8,1.3431,1.6159
21,0,-10.1721,12.9126
21,1,1.4451,2.4738
21,2,17.7574,-19.0058
21,3,-17.9336,-16.5377
21,4,-1.0290,-14.9319
21,5,9.6767,12.3417
21,6,-6.4457,-5.7533
21,7,-10.3158,17.1260
21,8,1.3189,1.5916
22,0,-10.2166,12.8803
22,1,1.3377,2.6413
22,2,17.6869,-19.0017
22,3,-18.0054,-16.5591
22,4,-0.9686,-14.9968
22,5,9.7035,12.2663
22,6,-6.4645,-5.8203
22,7,-10.3017,17.0271
